영업소코드,영업소명,연월,차종,교통량
132,영천,2014-01,2종,24080
132,영천,2014-01,3종,24934
132,영천,2014-01,4종,20721
132,영천,2014-01,5종,39879
132,영천,2014-01,6종,15603
133,서경주,2014-01,1종,170995
133,서경주,2014-01,2종,8198
133,서경주,2014-01,3종,10317
133,서경주,2014-01,4종,8336
133,서경주,2014-01,5종,24035
133,서경주,2014-01,6종,5663
134,선산,2014-01,1종,88175
134,선산,2014-01,2종,4562
134,선산,2014-01,3종,4590
134,선산,2014-01,4종,6316
134,선산,2014-01,5종,5849
134,선산,2014-01,6종,3326
135,경주,2014-01,1종,880060
135,경주,2014-01,2종,39888
135,경주,2014-01,3종,72619
135,경주,2014-01,4종,39082
135,경주,2014-01,5종,95088
135,경주,2014-01,6종,34270
136,음성,2014-01,1종,99124
136,음성,2014-01,2종,5961
136,음성,2014-01,3종,5840
136,음성,2014-01,4종,4456
136,음성,2014-01,5종,5075
136,음성,2014-01,6종,3912
137,통도사,2014-01,1종,275242
137,통도사,2014-01,2종,15610
137,통도사,2014-01,3종,15766
137,통도사,2014-01,4종,11513
137,통도사,2014-01,5종,17446
137,통도사,2014-01,6종,13841
138,양산,2014-01,1종,707549
138,양산,2014-01,2종,72009
138,양산,2014-01,3종,40977
138,양산,2014-01,4종,44520
138,양산,2014-01,5종,55266
138,양산,2014-01,6종,38041
139,서울산,2014-01,1종,444017
139,서울산,2014-01,2종,24138
139,서울산,2014-01,3종,27635
139,서울산,2014-01,4종,13060
139,서울산,2014-01,5종,23198
139,서울산,2014-01,6종,22962
140,부산,2014-01,1종,1562524
140,부산,2014-01,2종,58657
140,부산,2014-01,3종,45629
140,부산,2014-01,4종,31853
140,부산,2014-01,5종,57666
140,부산,2014-01,6종,87939
142,군북,2014-01,1종,319741
142,군북,2014-01,2종,13265
142,군북,2014-01,3종,12383
142,군북,2014-01,4종,8914
142,군북,2014-01,5종,16158
142,군북,2014-01,6종,19663
143,장지,2014-01,1종,104399
143,장지,2014-01,2종,6457
143,장지,2014-01,3종,4522
143,장지,2014-01,4종,3248
143,장지,2014-01,5종,14212
143,장지,2014-01,6종,5909
144,함안,2014-01,1종,234773
144,함안,2014-01,2종,12229
144,함안,2014-01,3종,9065
144,함안,2014-01,4종,8148
144,함안,2014-01,5종,16785
144,함안,2014-01,6종,15456
145,산인,2014-01,1종,705087
145,산인,2014-01,2종,18661
145,산인,2014-01,3종,28748
145,산인,2014-01,4종,12982
145,산인,2014-01,5종,20801
145,산인,2014-01,6종,39582
146,동창원,2014-01,1종,584863
146,동창원,2014-01,2종,28204
146,동창원,2014-01,3종,20891
146,동창원,2014-01,4종,16573
146,동창원,2014-01,5종,29950
146,동창원,2014-01,6종,38523
147,진례,2014-01,1종,425291
147,진례,2014-01,2종,33247
147,진례,2014-01,3종,18647
147,진례,2014-01,4종,16041
147,진례,2014-01,5종,25836
147,진례,2014-01,6종,28681
148,서김해,2014-01,1종,615581
148,서김해,2014-01,2종,21029
148,서김해,2014-01,3종,13955
148,서김해,2014-01,4종,9684
148,서김해,2014-01,5종,13980
148,서김해,2014-01,6종,42489
149,동김해,2014-01,1종,1089169
149,동김해,2014-01,2종,33801
149,동김해,2014-01,3종,23447
149,동김해,2014-01,4종,11992
149,동김해,2014-01,5종,13876
149,동김해,2014-01,6종,83327
150,북부산,2014-01,1종,2310237
150,북부산,2014-01,2종,64914
150,북부산,2014-01,3종,65340
