org,name,mst,effective,source,n,file,건폐율_보전관리,용적률_보전관리,건폐율_생산관리,용적률_생산관리,건폐율_계획관리,용적률_계획관리,건폐율_보전녹지,용적률_보전녹지,건폐율_생산녹지,용적률_생산녹지,건폐율_자연녹지,용적률_자연녹지,건폐율_농림,용적률_농림,건폐율_자연환경보전,용적률_자연환경보전,경사도_도,표고_m,입목축적_pct
전북특별자치도 무주군,무주군 군계획 조례,2090963,20251210,web-html,28,전북특별자치도_무주군_무주군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,,
전북특별자치도 부안군,부안군 군계획 조례,2059843,20250718,web-html,30,전북특별자치도_부안군_부안군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,21,150,100
전북특별자치도 순창군,순창군 계획 조례,2163587,20260818,web-html,28,전북특별자치도_순창군_순창군_계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,50,100
전북특별자치도 완주군,완주군 계획 조례,2093577,20251218,web-html,35,전북특별자치도_완주군_완주군_계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,20,21,,150
전북특별자치도 익산시,익산시 도시계획 조례,2103039,20251231,web-html,26,전북특별자치도_익산시_익산시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,50,18,,150
전북특별자치도 임실군,임실군 계획 조례,2111947,20260225,web-html,23,전북특별자치도_임실군_임실군_계획_조례.json,20,80,20,80,40,100,20,80,20,80,20,80,20,80,20,80,25,100,150
전북특별자치도 장수군,장수군 군계획 조례,2118571,20260401,web-html,31,전북특별자치도_장수군_장수군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,
전북특별자치도 전주시,전주시 도시계획 조례,2122435,20260413,web-html,24,전북특별자치도_전주시_전주시_도시계획_조례.json,,50,,80,50,100,,50,30,100,,100,,80,,,15,100,120
전북특별자치도 정읍시,정읍시 도시계획 조례,2121657,20260410,web-html,26,전북특별자치도_정읍시_정읍시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,,20,80,21,100,100
전북특별자치도 진안군,진안군 계획 조례,2117603,20260330,web-html,24,전북특별자치도_진안군_진안군_계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,100,100
제주특별자치도,제주특별자치도 도시계획 조례,2096577,20251224,web-html,32,제주특별자치도_제주특별자치도_도시계획_조례.json,20,60,20,60,40,50,20,60,20,30,20,80,20,50,20,50,,,
충청남도,충청남도 도시계획 조례,2003869,20241230,web-html,1,충청남도_충청남도_도시계획_조례.json,,,,,,,,,,,,,,,,,,,
충청남도 계룡시,계룡시 도시계획 조례,2088919,20251120,web-html,21,충청남도_계룡시_계룡시_도시계획_조례.json,,,,,,,20,80,20,80,20,80,,,20,80,,,
충청남도 공주시,공주시 도시계획 조례,2092049,20251215,web-html,29,충청남도_공주시_공주시_도시계획_조례.json,20,80,20,80,40,100,20,50,20,80,20,80,20,80,20,50,,,
충청남도 금산군,금산군 도시계획 조례,2083975,20251110,web-html,28,충청남도_금산군_금산군_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,,,
충청남도 논산시,논산시 도시계획 조례,2095519,20251222,web-html,41,충청남도_논산시_논산시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,80,20,100,20,80,20,80,20,,
충청남도 당진시,당진시 도시계획 조례,2092539,20251215,web-html,29,충청남도_당진시_당진시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,60,,,
충청남도 보령시,보령시 도시계획 조례,2083897,20251110,web-html,29,충청남도_보령시_보령시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,
충청남도 부여군,부여군 군계획 조례,2165187,20260825,web-html,28,충청남도_부여군_부여군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,,
충청남도 서산시,서산시 도시계획 조례,2090923,20251210,web-html,28,충청남도_서산시_서산시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,,,150
충청남도 서천군,서천군 도시계획 조례,2089339,20251128,web-html,24,충청남도_서천군_서천군_도시계획_조례.json,20,80,20,80,40,100,20,80,20,80,20,100,20,80,20,60,25,50,
충청남도 아산시,아산시 도시계획 조례,2162613,20260818,web-html,29,충청남도_아산시_아산시_도시계획_조례.json,20,80,20,80,40,100,20,,20,80,20,80,20,80,20,60,20,,
충청남도 예산군,예산군 군계획 조례,2088757,20251121,web-html,26,충청남도_예산군_예산군_군계획_조례.json,20,80,20,80,40,100,20,80,20,90,20,100,20,80,20,70,,,
충청남도 천안시,천안시 도시계획 조례,1932763,20240517,web-html,30,충청남도_천안시_천안시_도시계획_조례.json,20,80,20,80,40,100,20,60,20,80,20,80,20,80,20,60,,,
충청남도 청양군,청양군 군계획 조례,2156897,20260803,web-html,31,충청남도_청양군_청양군_군계획_조례.json,20,80,20,80,40,100,20,50,20,100,20,80,20,80,20,80,20,,
충청남도 태안군,태안군 도시계획 조례,2117975,20260331,web-html,24,충청남도_태안군_태안군_도시계획_조례.json,20,80,20,80,50,100,20,80,30,100,20,100,20,80,20,80,,,
충청남도 홍성군,홍성군 군계획 조례,2113307,20260227,web-html,36,충청남도_홍성군_홍성군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,100,
충청북도,충청북도 도시계획 조례,2001097,20250101,web-html,3,충청북도_충청북도_도시계획_조례.json,,,,,,,,,,,,,,,,,,,
충청북도 괴산군,괴산군 군계획 조례,2109185,20260206,web-html,32,충청북도_괴산군_괴산군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,
충청북도 단양군,단양군 군계획 조례,1974929,20251231,web-html,27,충청북도_단양군_단양군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,150
충청북도 보은군,보은군 군계획 조례,2082909,20251107,web-html,21,충청북도_보은군_보은군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,
충청북도 영동군,영동군 군계획 조례,2005799,20241231,web-html,28,충청북도_영동군_영동군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,
충청북도 옥천군,옥천군 군계획 조례,2054307,20250710,web-html,33,충청북도_옥천군_옥천군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,,
충청북도 음성군,음성군 군계획 조례,2146217,20260630,web-html,46,충청북도_음성군_음성군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,,,
충청북도 제천시,제천시 도시계획 조례,2128449,20260508,web-html,37,충청북도_제천시_제천시_도시계획_조례.json,20,60,20,80,40,100,20,60,20,80,20,100,20,80,20,80,,,150
충청북도 증평군,증평군 군계획 조례,2152413,20260508,web-html,35,충청북도_증평군_증평군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,200,
충청북도 진천군,진천군 군계획 조례,2109249,20260209,web-html,26,충청북도_진천군_진천군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,,,
충청북도 청주시,청주시 도시계획 조례,2122093,20260410,web-html,31,충청북도_청주시_청주시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,80,20,100,20,80,20,80,,,
충청북도 충주시,충주시 도시계획 조례,2126707,20260430,web-html,27,충청북도_충주시_충주시_도시계획_조례.json,20,80,20,80,40,100,20,50,20,80,20,80,20,80,20,50,25,,150
